env/completion_counter,env/current_idx,eval/mean_reward,time/total_timesteps,eval/success_rate,eval/mean_ep_length,env/n_steps,time/iterations,rollout/success_rate,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates
0,1626,-0.04820249636191875,2940,0.92,1.18,2940,,,,,,,0.17666667215526105,0.2,0.038664207,-0.04065173093539971,0.001,0.19883297383785248,-0.7211165368556977,0.01685100793838501,0.09152650833129883,970
,,,2940,,,,98,0.75,11178,0,1.66,-0.21334882000000005,,,,,,,,,,
0,1644,-0.02797615746036172,2970,0.98,1.1,2970,,,,,,,0.2600000031292439,0.2,0.10665102,-0.053003083588555454,0.001,0.1858387142419815,-0.6475981593132019,-0.012887567281723022,-0.10370588302612305,980
,,,2970,,,,99,0.76,11284,0,1.63,-0.21398159000000003,,,,,,,,,,
0,1661,-0.048852355424314736,3000,0.96,1.16,3000,,,,,,,0.15000000596046448,0.2,0.03758683,-0.030073884855955767,0.001,0.1319106251001358,-0.5559348136186599,-0.011413227766752243,0.27286916971206665,990
,,,3000,,,,100,0.72,11396,0,1.69,-0.24713971,,,,,,,,,,
0,1682,-0.047863540071994067,3030,0.96,1.14,3030,,,,,,,0.23333334177732468,0.2,0.04065215,-0.04217661947011919,0.001,0.21243687868118286,-0.5211266309022904,0.004438258707523346,-0.07369208335876465,1000
,,,3030,,,,101,0.75,11509,0,1.62,-0.22924262999999998,,,,,,,,,,
0,1702,-0.11046946868300438,3060,0.88,1.26,3060,,,,,,,0.17000000700354576,0.2,0.09983147,-0.02339633648594237,0.001,0.14104144796729087,-0.3169930011034012,0.02002272568643093,0.33796292543411255,1010
,,,3060,,,,102,0.75,11622,0,1.59,-0.23119055,,,,,,,,,,
0,1719,-0.049554273295216264,3090,0.94,1.2,3090,,,,,,,0.21000000573694705,0.2,0.109474786,-0.02681724286327771,0.001,0.09178841933608055,-0.5268958032131195,-0.01746269501745701,0.5382950305938721,1020
,,,3090,,,,103,0.77,11732,0,1.55,-0.24459967999999999,,,,,,,,,,
0,1739,-0.069122363217175,3120,0.94,1.18,3120,,,,,,,0.12666667215526103,0.2,0.048125148,-0.03623183606502902,0.001,0.20582634806632996,-0.5608717620372772,0.004555411636829376,0.13860982656478882,1030
,,,3120,,,,104,0.77,11837,0,1.58,-0.25578859000000004,,,,,,,,,,
0,1754,-0.15343834393192082,3150,0.84,1.32,3150,,,,,,,0.20000000596046447,0.2,0.048773583,-0.060863378110031265,0.001,0.22466855496168137,-0.6170721113681793,-0.0015159547328948975,-0.2329695224761963,1040
,,,3150,,,,105,0.72,11963,0,1.66,-0.30891623999999995,,,,,,,,,,
0,1771,-0.06913475156761706,3180,0.92,1.18,3180,,,,,,,0.09000000320374965,0.2,0.031951837,-0.02861300833523277,0.001,0.17199364826083183,-0.5281449139118195,0.008587829768657684,0.21255087852478027,1050
,,,3180,,,,106,0.71,12071,0,1.69,-0.31768811,,,,,,,,,,
0,1788,-0.1138980439119041,3210,0.84,1.36,3210,,,,,,,0.19666667133569718,0.2,0.03660329,-0.052713917816678446,0.001,0.18983107507228852,-0.5476316988468171,-0.0182197242975235,0.15394890308380127,1060
,,,3210,,,,107,0.72,12197,0,1.67,-0.28829850999999995,,,,,,,,,,
0,1809,-0.08881842327304185,3240,0.9,1.26,3240,,,,,,,0.18000000566244126,0.2,0.081582054,-0.06061834856867776,0.001,0.2141924574971199,-0.5299433916807175,-0.019350513815879822,0.12330108880996704,1070
,,,3240,,,,108,0.71,12305,0,1.69,-0.29023746,,,,,,,,,,
0,1827,-0.07069820585660637,3270,0.92,1.16,3270,,,,,,,0.10666666850447655,0.2,0.018442418,-0.035120406490750614,0.001,0.19727243036031722,-0.4329792052507401,0.017626341432332993,0.11975491046905518,1080
,,,3270,,,,109,0.72,12424,0,1.67,-0.25554013999999997,,,,,,,,,,
0,1842,-0.13194718770682812,3300,0.84,1.36,3300,,,,,,,0.0800000037997961,0.2,0.0075922012,-0.030852124060814567,0.001,0.14568662643432617,-0.38387703597545625,0.004790931940078735,0.04508596658706665,1090
,,,3300,,,,110,0.68,12546,0,1.75,-0.27651265,,,,,,,,,,
0,1862,-0.13004232723265885,3330,0.88,1.28,3330,,,,,,,0.24666667096316813,0.2,0.07429172,-0.05236406892538063,0.001,0.1606361299753189,-0.4596723645925522,-0.01790390908718109,0.3549402356147766,1100
,,,3330,,,,111,0.73,12677,0,1.65,-0.22443981999999998,,,,,,,,,,
0,1881,-0.13150516619440167,3360,0.86,1.38,3360,,,,,,,0.10666667073965072,0.2,0.04680927,-0.028840100662782753,0.001,0.1852459877729416,-0.2945040658116341,0.019410520792007446,0.032254576683044434,1110
,,,3360,,,,112,0.75,12792,0,1.64,-0.21570821,,,,,,,,,,
0,1902,-0.047955766916275025,3390,0.96,1.12,3390,,,,,,,0.09666667170822621,0.2,0.021681959,-0.01687599966302513,0.001,0.14756499752402305,-0.27379703223705293,0.036357466131448746,0.15948766469955444,1120
