env/n_steps,eval/mean_ep_length,time/total_timesteps,eval/success_rate,env/current_idx,env/completion_counter,eval/mean_reward,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl
2250,1.46,2250,0.94,1097,0,-0.07248911201488227,,,,,,,740,0.2330327033996582,0.2515026792883873,0.001,0.0995488092303276,-0.007274933784113457,0.020000001043081285,0.2,-0.03486759066581726,0.0068565845
,,2250,,,,,0,-0.18355586000000002,9028,1.92,75,0.85,,,,,,,,,,
2280,1.48,2280,0.92,1107,0,-0.07336293430998922,,,,,,,750,0.23816490173339844,0.12585163675248623,0.001,0.01938347890973091,-0.005750212989126613,0.026666668057441712,0.2,-0.034353268519043925,0.0009374698
,,2280,,,,,0,-0.18675147999999997,9156,2.01,76,0.84,,,,,,,,,,
2310,1.5,2310,0.92,1128,0,-0.09695715911220759,,,,,,,760,0.016410768032073975,0.19028860554099084,0.001,0.059041578322649,-3.196497790902697e-06,0.0,0.2,-0.026537054777145387,0.0
,,2310,,,,,0,-0.16226880000000005,9284,1.86,77,0.87,,,,,,,,,,
2340,1.18,2340,0.98,1141,0,-0.028738386142067612,,,,,,,770,-0.0587080717086792,0.16990681663155555,0.001,0.05656304582953453,-2.894798898367412e-07,0.0,0.2,-0.026133458502590655,0.0
,,2340,,,,,0,-0.19129703000000003,9395,1.96,78,0.85,,,,,,,,,,
2370,1.34,2370,0.92,1159,0,-0.05237303846515715,,,,,,,780,0.07438778877258301,0.2460193708539009,0.001,0.0921652764081955,-3.079573245301503e-08,0.0,0.2,-0.025762330554425717,0.0
,,2370,,,,,0,-0.19812242000000008,9508,1.9,79,0.85,,,,,,,,,,
2400,1.52,2400,0.94,1177,0,-0.07532711849547923,,,,,,,790,0.0360141396522522,0.2448538452386856,0.001,0.08159350603818893,-4.0431817494024355e-08,0.0,0.2,-0.02562286499887705,0.0
,,2400,,,,,0,-0.20454250999999998,9634,1.94,80,0.84,,,,,,,,,,
2430,1.46,2430,0.92,1190,0,-0.09248839932493866,,,,,,,800,0.02148205041885376,0.20933066308498383,0.001,0.09369759261608124,-8.2453091021506e-08,0.0,0.2,-0.025627592764794826,0.0
,,2430,,,,,0,-0.20374562000000004,9754,1.98,81,0.83,,,,,,,,,,
2460,1.18,2460,1.0,1205,0,-0.008649810939095915,,,,,,,810,0.1771465539932251,0.1998897299170494,0.001,0.08045986294746399,-2.0027160871904925e-07,0.0,0.2,-0.02548359278589487,0.0
,,2460,,,,,0,-0.20432810999999998,9867,1.9,82,0.84,,,,,,,,,,
2490,1.54,2490,0.88,1221,0,-0.11475539579056203,,,,,,,820,0.0925072431564331,0.19670625925064086,0.001,0.07077459245920181,-3.5285950170660387e-07,0.0,0.2,-0.025605213083326816,0.0
,,2490,,,,,0,-0.19890187999999995,10038,1.89,83,0.84,,,,,,,,,,
2520,1.18,2520,0.98,1240,0,-0.029697875031270086,,,,,,,830,0.25332456827163696,0.15580877512693406,0.001,0.05417649447917938,-2.131859437426442e-07,0.0,0.2,-0.025853371992707253,0.0
,,2520,,,,,0,-0.18204823,10152,1.84,84,0.85,,,,,,,,,,
2550,1.58,2550,0.92,1260,0,-0.05449998717755079,,,,,,,840,0.20124632120132446,0.16811599284410478,0.001,0.0524936243891716,-1.1303027434905743e-06,0.0,0.2,-0.025721732899546622,0.0
,,2550,,,,,0,-0.16773957000000003,10300,1.78,85,0.86,,,,,,,,,,
2580,1.16,2580,0.98,1274,0,-0.02858235186897218,,,,,,,850,-0.05888080596923828,0.0928068108856678,0.001,0.029401790350675583,-9.726857054914718e-07,0.0,0.2,-0.025823812186717986,0.0
,,2580,,,,,0,-0.17208167,10407,1.8,86,0.86,,,,,,,,,,
2610,1.32,2610,0.94,1293,0,-0.07363983645103872,,,,,,,860,0.4071655869483948,0.123146291077137,0.001,0.02585161104798317,-9.854634521744288e-07,0.0,0.2,-0.025882896967232227,0.0
