rollout/ep_rew_mean,rollout/ep_len_mean,env/completion_counter,time/fps,rollout/success_rate,time/total_timesteps,time/iterations,time/time_elapsed,env/current_idx,env/n_steps,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/loss,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
-0.05049378,1.3,0,0,0.95,17310,577,22307,12670,17310,0.0001,-0.0028181068599224092,1.0053317e-06,0.0,0.0074328950396738945,28800,0.2,0.0006280270754359663,-91.17123413085938,-6.047270726362797e-05,,,
-0.06426917,1.39,0,0,0.93,17340,578,22342,12689,17340,0.0001,-0.016413007462397218,0.28957278,0.032666668370366095,0.06836593393236398,28850,0.2,0.0010900599882006645,0.1799951195716858,-0.0036075656386092268,,,
-0.05335006,1.34,0,0,0.94,17370,579,22380,12718,17370,0.0001,-0.003962828940711915,4.430612e-07,0.0,0.046470381878316404,28900,0.2,0.004795409273356199,-0.23974013328552246,-5.2881667737256775e-05,,,
-0.06438463,1.32,0,0,0.93,17400,580,22415,12739,17400,0.0001,-0.001966974410461262,0.00018334389,0.0,0.008327745059505105,28950,0.2,-0.014160003513097763,-318.361328125,-0.014097601164442785,,,
-0.08536152000000001,1.37,0,0,0.92,17430,581,22454,12758,17430,0.0001,-0.020095059145241977,0.2377804,0.05533333621919155,0.10712464340031147,29000,0.2,0.0016237571835517883,0.08565133810043335,-0.012711684759240605,,,
-0.062464410000000005,1.3,0,0,0.94,17460,582,22490,12784,17460,0.0001,-0.022875518910586833,0.28282154,0.0373333352804184,0.0668156274780631,29050,0.2,-0.0009326357394456863,0.2347426414489746,-0.005141255356371399,,,
-0.06111222000000001,1.25,0,0,0.95,17490,583,22522,12813,17490,0.0001,-0.030166401509195567,0.08367639,0.04466666899621487,0.037995448987931016,29100,0.2,-0.009107926860451698,0.3077390789985657,-0.010275723841254738,,,
-0.039087430000000006,1.19,0,0,0.97,17520,584,22567,12840,17520,0.0001,-0.018132280446588992,0.26633528,0.07200000278651714,0.011205158801749349,29150,0.2,-0.014760108664631844,-480.9295959472656,-0.011187209191421665,,,
-0.028329709999999998,1.14,0,0,0.97,17550,585,22599,12864,17550,0.0001,-0.043622877821326254,0.08188841,0.08200000241398811,0.0025691675231792033,29200,0.2,-0.026450565084815025,-38.215431213378906,-0.023174316627283885,,,
-0.02937502,1.2,0,0,0.97,17580,586,22639,12884,17580,0.0001,-0.011139853550121188,0.12327579,0.012666667327284813,0.08084821596741676,29250,0.2,-0.012415189296007156,-0.035353779792785645,-0.007338008232415696,,,
-0.06051748999999999,1.29,0,0,0.94,17610,587,22680,12904,17610,0.0001,-0.005183669002726674,2.456506e-05,0.0,0.03495896680280566,29300,0.2,0.006504437420517206,0.20092374086380005,-0.00015497591127736855,,,
-0.07100959000000001,1.34,0,0,0.92,17640,588,22716,12925,17640,0.0001,-0.12415019690990448,0.1988512,0.1660000056773424,0.09465923029929399,29350,0.2,-0.04563993215560913,0.3585026264190674,-0.02850138257940607,,,
-0.09134113,1.4,0,0,0.9,17670,589,22750,12947,17670,0.0001,-0.13699747428297995,0.089248896,0.16000000536441802,0.05949655059725046,29400,0.2,-0.05335408076643944,0.23282837867736816,-0.03521705061399067,,,
-0.1028085,1.47,0,0,0.9,17700,590,22782,12965,17700,0.0001,-0.09812173008918762,0.08075903,0.16933333605527878,0.028261753479018808,29450,0.2,-0.0161227248609066,0.6621586084365845,-0.016991836789685025,,,
-0.12331358000000003,1.5,0,0,0.88,17730,591,22824,12984,17730,0.0001,-0.11311208248138428,0.048500188,0.15666667096316814,0.08478209348395467,29500,0.2,-0.01982790045440197,-1.4076426029205322,-0.021603267253997416,,,
-0.09295935999999999,1.44,0,0,0.91,17760,592,22865,13009,17760,0.0001,-0.1308219002187252,0.04688499,0.14133333683013916,0.1416270300745964,29550,0.2,-0.0009012334048748016,0.07230544090270996,-0.02820464902929963,,,
-0.07268142,1.39,0,0,0.93,17790,593,22898,13034,17790,0.0001,-0.1769483807682991,0.11733013,0.18600000709295272,0.01976003303192556,29600,0.2,-0.05312579870223999,-16.79351806640625,-0.03931150964771717,,,
-0.06289597,1.37,0,0,0.94,17820,594,22938,13055,17820,0.0001,-0.0733744066208601,0.19135857,0.10466667145490646,0.0032483785529620946,29650,0.2,-0.015832168981432915,-36.712989807128906,-0.014600103086481474,,,
