rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,env/n_steps,env/current_idx,time/fps,time/total_timesteps,env/completion_counter,train/clip_range,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.96,4840,1.21,130,-0.039698580000000004,3900,2903,0,3900,0,0.2,6450,-2.7288993291740836e-08,-0.00011313986906316131,-2.333339214324951,0.00012889457771962044,0.0,0.0,0.001,2.1078465579194017e-05,,,
0.94,4874,1.26,131,-0.05050458999999999,3930,2927,0,3930,0,0.2,6500,-5.774895335708407e-07,-0.00018185738095780835,-0.08544492721557617,0.020741269129284774,0.0,0.0,0.001,4.163572157267481e-05,,,
0.96,4906,1.21,132,-0.02945182999999999,3960,2950,0,3960,0,0.2,6550,4.2756398768162285e-08,-9.949283426976762e-05,-0.19894707202911377,0.04581506139598787,0.0,0.0,0.001,0.0020517155062407255,,,
0.95,4941,1.26,133,-0.04130988999999999,3990,2970,0,3990,0,0.2,6600,-2.4636585616022442e-09,-9.178142820019275e-05,-58.333412170410156,0.005307511608116329,0.0,0.0,0.001,0.00039803999243304133,,,
0.95,4977,1.3,134,-0.04287677,4020,2993,0,4020,0,0.2,6650,-0.027058922333900295,-0.01266156800207682,0.004962503910064697,0.04248391229601111,0.05800000235438347,0.75100553,0.001,-0.06647880375385284,,,
0.96,5016,1.29,135,-0.04263274000000001,4050,3018,0,4050,0,0.2,6700,-0.020304914873714282,-0.039058978222310546,-0.7676482200622559,0.01677791121357586,0.10066667057573796,0.41861838,0.001,-0.022792883217334747,,,
0.94,5049,1.34,136,-0.06347305000000002,4080,3039,0,4080,0,0.2,6750,-0.02618718463120363,-0.14456234954297542,-44.157901763916016,0.0002690086634538602,0.4400000166147947,2.3030963,0.001,-0.03019777126610279,,,
0.93,5082,1.31,137,-0.062098429999999996,4110,3061,0,4110,0,0.2,6800,-0.07118427027389401,-0.12873932644724845,0.03329610824584961,0.11269569456577301,0.30200000405311583,1.0044457,0.001,-0.09903320670127869,,,
0.93,5118,1.32,138,-0.061329829999999995,4140,3083,0,4140,0,0.2,6850,-0.07859295889735222,-0.125934229940176,-1.0484797954559326,0.05762412466108799,0.45533334240317347,2.0797532,0.001,-0.08199358731508255,,,
0.91,5156,1.4,139,-0.08412891,4170,3103,0,4170,0,0.2,6900,-0.06021867674589146,-0.11243310675024987,-0.41855478286743164,0.038648772449232635,0.2686666777729988,0.39952502,0.001,-0.07838175445795059,,,
0.91,5190,1.4,140,-0.09488549999999998,4200,3128,0,4200,0,0.2,6950,-0.039985813664893295,-0.0294649363681674,0.28786343336105347,0.026130064621102064,0.1793333362787962,0.61397743,0.001,-0.05088496580719948,,,
0.95,5222,1.33,141,-0.05406077999999999,4230,3151,0,4230,0,0.2,7000,-0.060832484638939296,-0.13370050206780434,0.017136573791503906,0.020669498479692267,0.29333333909511566,0.10002717,0.001,-0.0888575091958046,,,
0.97,5255,1.34,142,-0.044252030000000005,4260,3173,0,4260,0,0.2,7050,-0.01598180388783415,-0.029042854979634283,-4.540801525115967,0.0006990883313119412,0.15133333787322045,0.66255337,0.001,-0.0166279636323452,,,
0.97,5288,1.28,143,-0.04146483,4290,3195,0,4290,0,0.2,7100,-0.025296788952002932,-0.05408318117260933,-2.1587440967559814,9.779730855370872e-05,0.17666666969656944,0.7320687,0.001,-0.047480981796979904,,,
0.92,5320,1.46,144,-0.09494354999999999,4320,3207,0,4320,0,0.2,7150,-0.0705606651181975,-0.13631637752056122,-0.0538177490234375,0.09396145401056856,0.31533334255218504,0.67687297,0.001,-0.08180175721645355,,,
0.89,5361,1.54,145,-0.1158503,4350,3224,0,4350,0,0.2,7200,-0.06652175064136584,-0.1579284653067589,0.11701995134353638,0.0605779023678042,0.2480000101774931,0.28113768,0.001,-0.07739023119211197,,,
0.86,5394,1.6,146,-0.14644521999999996,4380,3244,0,4380,0,0.2,7250,-0.018149535464957296,-0.08288693241775036,-0.20475304126739502,0.06532851608470082,0.16466667115688324,0.18797027,0.001,-0.028696991503238678,,,
0.85,5427,1.58,147,-0.15602192999999998,4410,3266,0,4410,0,0.2,7300,-0.05550463365142541,-0.11550099804997443,0.2114640474319458,0.0389601173158735,0.21333333924412728,0.51765156,0.001,-0.06713716685771942,,,
0.84,5462,1.64,148,-0.16797026000000004,4440,3285,0,4440,0,0.2,7350,-0.04646970208734274,-0.09714045822620392,0.6944495439529419,0.007054975150385872,0.2720000103861093,0.49027345,0.001,-0.054800305515527725,,,
0.89,5503,1.46,149,-0.11534266999999998,4470,3308,0,4470,0,0.2,7400,-0.010003665948907567,-0.0462628436088562,0.29102838039398193,0.030478349453769624,0.12600000642240047,0.032426026,0.001,-0.009617024101316929,,,
0.91,5537,1.41,150,-0.09487593999999998,4500,3333,0,4500,0,0.2,7450,-0.02841911187736937,-0.10793855622410774,-0.7714570760726929,0.0556394147593528,0.2773333429545164,1.277331,0.001,-0.05684240162372589,,,
0.92,5572,1.37,151,-0.07441189999999999,4530,3353,0,4530,0,0.2,7500,-0.0583463385552168,-0.10263094693422317,-0.04664468765258789,0.028406403446570038,0.26466667503118513,0.8402954,0.001,-0.06531602144241333,,,
0.93,5605,1.31,152,-0.06269370999999999,4560,3376,0,4560,0,0.2,7550,-0.05528191764652732,-0.041929339691996574,0.10401248931884766,0.04591433449299075,0.2673333437740803,1.306573,0.001,-0.06252939999103546,,,
0.9,5642,1.38,153,-0.10362293999999998,4590,3394,0,4590,0,0.2,7600,-0.07062388727317255,-0.09146492838859559,-0.19627559185028076,0.030109231317183002,0.25266667917370794,0.33387557,0.001,-0.07462619990110397,,,
0.89,5680,1.42,154,-0.11365136999999999,4620,3414,0,4620,0,0.2,7650,-0.028724408258373586,-0.08322920262813568,0.2023104429244995,0.06492795462487265,0.12800000444054604,0.027885312,0.001,-0.032883722335100174,,,
0.86,5718,1.5,155,-0.12399929999999999,4650,3433,0,4650,0,0.2,7700,-0.029458979832629347,-0.08699805855751037,0.4430283308029175,0.017410135786049066,0.21666667386889457,0.82096356,0.001,-0.03430777043104172,,,
0.86,5751,1.5,156,-0.13349112000000002,4680,3452,0,4680,0,0.2,7750,-0.058393103371063904,-0.09598912104964256,-0.6275844573974609,0.07359137379564346,0.226666671782732,0.45874506,0.001,-0.07424183189868927,,,
0.85,5789,1.53,157,-0.14400490000000002,4710,3475,0,4710,0,0.2,7800,-0.08299453087647762,-0.14860343247652053,0.03571796417236328,0.09514659909531474,0.3573333376646042,0.6334722,0.001,-0.10590820759534836,,,
0.87,5822,1.51,158,-0.12366348000000002,4740,3492,0,4740,0,0.2,7850,-0.0613454347724716,-0.0524841070920229,-0.14660990238189697,0.06463830193970352,0.24666667684912683,0.6926165,0.001,-0.07448149472475052,,,
0.87,5864,1.52,159,-0.10407906,4770,3514,0,4770,0,0.2,7900,-0.0658562873825431,-0.09889285638928413,-0.3773641586303711,0.0633368151821196,0.3526666730642319,1.6729348,0.001,-0.07644829154014587,,,
0.89,5895,1.47,160,-0.10411279000000004,4800,3536,0,4800,0,0.2,7950,-0.03769108045473693,-0.08272766754031181,-53.388092041015625,0.008318066754727625,0.553333328589797,5.2625856,0.001,-0.048273831605911255,,,
0.92,5927,1.44,161,-0.06515412000000001,4830,3555,0,4830,0,0.2,8000,-0.03364225244211655,-0.04689867969602347,-0.037859201431274414,0.11017592564225197,0.1286666715145111,1.1109263,0.001,-0.07505129277706146,,,
0.89,5961,1.55,162,-0.09700558,4860,3572,0,4860,0,0.2,8050,-0.0814186348468064,-0.22586539641022682,-33.570716857910156,0.02522375648841262,0.4293333375453949,1.057278,0.001,-0.09659647196531296,,,
0.88,5994,1.51,163,-0.09727699999999999,4890,3592,0,4890,0,0.2,8100,-0.08811470461698871,-0.3058240520954132,0.10268467664718628,0.12741757776588203,0.4533333457261324,0.35462636,0.001,-0.09908740222454071,,,
0.86,6031,1.57,164,-0.12754607,4920,3610,0,4920,0,0.2,8150,-0.04941101687215266,-0.16863598227500914,-0.7641175985336304,0.05336121462285519,0.2700000082701445,0.23040016,0.001,-0.07178138941526413,,,
0.87,6064,1.54,165,-0.10705946999999999,4950,3629,0,4950,0,0.2,8200,-0.09174807179470854,-0.1867430278658867,-0.41428446769714355,0.061486249789595604,0.3493333397805691,0.37683704,0.001,-0.10341190546751022,,,
0.86,6100,1.56,166,-0.11581618,4980,3650,0,4980,0,0.2,8250,-0.07869458207488066,-0.21868635654449464,-8.21599006652832,0.011390245370566845,0.3706666750460863,0.9347299,0.001,-0.11598091572523117,,,
