time/total_timesteps,env/n_steps,time/time_elapsed,time/fps,env/current_idx,env/completion_counter,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,eval/mean_ep_length,eval/mean_reward,eval/success_rate
62500,62500,184258,0,1139,10,-0.1574274,1.55,0.95,625,-0.09720597714185715,0.2063713178038597,0.001,6240,-0.024886321332305526,0.3711279630661011,0.04792438820004463,0.2,0.051436737,0.06599999871104956,,,
62600,62600,184391,0,1229,10,-0.07724816000000001,1.29,0.98,626,-0.0813848316669464,0.28553334772586825,0.001,6250,-0.014740236477926416,0.6202141046524048,0.08762981742620468,0.2,0.08017933,0.041999997943639754,,,
62700,62700,184514,0,1304,10,-0.09109378000000001,1.25,0.98,627,-0.09766367450356483,0.13697867915034295,0.001,6260,-0.01598233647830778,-2.0018086433410645,0.019738253206014633,0.2,0.009762508,0.043999998830258846,,,
62800,62800,184644,0,1389,10,-0.05535369999999999,1.18,0.99,628,-0.08505659103393555,0.3385395437479019,0.001,6270,-0.018760788741521494,0.35403186082839966,0.1114678680896759,0.2,0.07381188,0.06399999819695949,,,
62900,62900,184777,0,1482,10,-0.027744910000000008,1.08,1.0,629,-0.05764859355986118,0.1603170305490494,0.001,6280,-0.010468772802502002,0.5342655181884766,0.041782934218645096,0.2,0.12377964,0.05199999921023846,,,
63000,63000,,,1554,10,,,,,-0.0669566411525011,0.09488915354013443,0.001,6290,-0.012825556576251885,-23.797855377197266,0.025705894455313683,0.2,0.0073303645,0.045999998599290846,1.14,-0.04147124220151454,1.0
63000,,185056,0,,,-0.08659119,1.29,0.98,630,,,,,,,,,,,,,
63100,63100,185180,0,1637,10,-0.05408424999999997,1.18,0.99,631,-0.047262958437204364,0.25791272819042205,0.001,6300,-0.0069722656197846785,0.4023475646972656,0.08604434877634048,0.2,0.019330066,0.030999999307096005,,,
63200,63200,185316,0,1732,10,-0.02148721,1.05,1.0,632,-0.06611680425703526,0.14508964419364928,0.001,6310,-0.01329103416996098,0.5129750967025757,0.03579249233007431,0.2,0.018159581,0.0439999995753169,,,
63300,63300,185445,0,1829,10,-0.01973591,1.04,1.0,633,-0.03012182340025902,0.02708312254399061,0.001,6320,-0.010146325919777155,-4.850681304931641,-0.001994919963181019,0.2,0.007029214,0.02799999937415123,,,
63400,63400,185572,0,1911,10,-0.05195585999999999,1.19,1.0,634,-0.038534443080425265,0.015774206817150117,0.001,6330,-0.020033412545919484,-9.705832481384277,-0.019670389592647552,0.2,0.037468422,0.04599999822676182,,,
63500,63500,185695,0,1997,10,-0.05875369999999999,1.2,0.99,635,-0.0812840223312378,0.07007077187299729,0.001,6340,-0.018424157153815023,0.25048136711120605,0.006277134642004967,0.2,0.067542404,0.050999999046325684,,,
63600,63600,185827,0,2091,10,-0.025540710000000005,1.06,1.0,636,-0.051171118021011354,0.13787836953997612,0.001,6350,-0.02945206117630006,0.24141991138458252,0.019896075129508972,0.2,0.34195128,0.0799999974668026,,,
63700,63700,185974,0,2168,10,-0.058208130000000004,1.23,0.99,637,-0.04357585571706295,0.034346659667789936,0.001,6360,-0.01657155326567583,-2.183129072189331,-0.005652874708175659,0.2,0.029347735,0.05199999865144491,,,
63800,63800,186115,0,2261,10,-0.02252789,1.07,1.0,638,-0.05410715006291866,0.13778740167617798,0.001,6370,-0.014293850962072696,0.34362518787384033,0.048109933733940125,0.2,0.038966857,0.05899999961256981,,,
63900,63900,186247,0,2344,10,-0.03960151,1.18,1.0,639,-0.010827576369047165,0.02540562879294157,0.001,6380,-0.0013166228395423475,-1.5750172138214111,0.009279463440179825,0.2,0.00013672828,0.0,,,
64000,64000,,,2413,10,,,,,-0.0859077014029026,0.050096850097179416,0.001,6390,-0.013978255130350803,0.14065462350845337,-0.0018547046929597855,0.2,0.028084993,0.06399999856948853,1.19,-0.04941911950474605,1.0
64000,,186532,0,,,-0.09528154000000001,1.36,0.98,640,,,,,,,,,,,,,
64100,64100,186664,0,2493,10,-0.07700672,1.26,0.99,641,-0.05849028304219246,0.2720849245786667,0.001,6400,-0.011369711235165881,0.44451045989990234,0.11284221708774567,0.2,0.0074707284,0.024999999441206455,,,
64200,64200,186797,0,2586,10,-0.03216634999999999,1.12,1.0,642,-0.048340308293700215,0.12848855331540107,0.001,6410,-0.005857714761048527,0.6584563255310059,0.027338027954101562,0.2,0.25593334,0.030999999307096005,,,
64300,64300,186933,0,2659,10,-0.07025869000000001,1.28,0.99,643,-0.0536693848669529,0.03731045257300138,0.001,6420,-0.014317421860992852,-4.015491485595703,-0.006706885062158108,0.2,0.035687394,0.0509999992325902,,,
