eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_reward,env/n_steps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/success_rate,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/loss
,,23700,,,,,-0.18233114999999997,0,35160,79,0.85,1.86,,,,,,,,,,
1.62,0.88,24000,0,11884,-0.09637940448708832,24000,,,,,,,0.0,0.2,0.001,395,-0.021003720164299012,5.867332086850752e-09,0.3075317144393921,0.0,0.17342642843723297,0.10348878800868988
,,24000,,,,,-0.2668901799999999,0,35605,80,0.77,2.23,,,,,,,,,,
1.38,0.92,24300,0,12021,-0.09221609585452825,24300,,,,,,,0.0,0.2,0.001,400,-0.02126548383384943,3.835355499859361e-09,0.12952828407287598,0.0,0.21995124220848083,0.11304393410682678
,,24300,,,,,-0.26906899999999995,0,36026,81,0.78,2.22,,,,,,,,,,
1.16,0.98,24600,0,12181,-0.028112699459306896,24600,,,,,,,0.0,0.2,0.001,405,-0.021367684938013554,-1.2026760787264834e-08,0.23390662670135498,0.0,0.19748472422361374,0.09279765188694
,,24600,,,,,-0.18419393999999997,0,36460,82,0.85,1.83,,,,,,,,,,
1.5,0.92,24900,0,12320,-0.09366181199904532,24900,,,,,,,6.4061023e-06,0.2,0.001,410,-0.02117241993546486,-7.080869664495281e-05,0.21998482942581177,0.0,0.17753050848841667,0.10780546814203262
,,24900,,,,,-0.26000790999999995,0,36889,83,0.79,2.11,,,,,,,,,,
1.38,0.96,25200,0,12493,-0.05138149439357221,25200,,,,,,,2.2730674e-05,0.2,0.001,415,-0.020014736987650394,-0.00026345184517335697,0.3897281289100647,0.0,0.19040246605873107,0.09392283111810684
,,25200,,,,,-0.14705263999999998,0,37320,84,0.86,1.75,,,,,,,,,,
1.6,0.9,25500,0,12638,-0.10629742647055536,25500,,,,,,,0.0003528309,0.2,0.001,420,-0.017735956236720085,-0.000785264896298088,0.09294337034225464,0.0,0.21252022683620453,0.10174685716629028
,,25500,,,,,-0.20135321,0,37760,85,0.82,2.03,,,,,,,,,,
1.32,0.98,25800,0,12785,-0.030524879274889827,25800,,,,,,,5.8039208e-05,0.2,0.001,425,-0.014590693172067404,-0.00029159243303276126,0.25210630893707275,0.000390625,0.1986932635307312,0.11194963753223419
,,25800,,,,,-0.25742383,0,38201,86,0.78,2.1,,,,,,,,,,
1.32,0.94,26100,0,12944,-0.07306656545028091,26100,,,,,,,0.0,0.2,0.001,430,-0.012578879296779633,-4.232437849083226e-08,0.33901911973953247,0.0,0.17668919265270233,0.07561878859996796
