eval/mean_ep_length,eval/success_rate,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_reward,env/completion_counter,time/fps,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl
,,,,23700,,,0,79,0.77,1.61,35009,-0.17904785000000004,,,,,,,,,,
1.2,0.92,13825,24000,24000,-0.06819874952547252,0,,,,,,,-0.03513807698400342,0.001,0.14951185286045074,790,-0.493086114525795,0.2,0.14687500111758708,-0.011204510927200317,0.10859465599060059,0.046173632
,,,,24000,,,0,80,0.77,1.68,35446,-0.22389678,,,,,,,,,,
1.32,0.86,14014,24300,24300,-0.1302974031958729,0,,,,,,,-0.028689874935662375,0.001,0.17760343439877033,800,-0.5322089776396751,0.2,0.13112571127712727,0.023224562406539917,0.0019391179084777832,0.031031704
,,,,24300,,,0,81,0.72,1.66,35881,-0.26695683000000003,,,,,,,,,,
1.18,0.94,14192,24600,24600,-0.028861137172207237,0,,,,,,,-0.02866093280026689,0.001,0.15994671434164048,810,-0.49282878786325457,0.2,0.09934304058551788,-0.0033294744789600372,0.035036683082580566,0.023420472
,,,,24600,,,0,82,0.68,1.81,36299,-0.30307633,,,,,,,,,,
1.26,0.9,14361,24900,24900,-0.11263193339575082,0,,,,,,,-0.03209239968564361,0.001,0.1652388259768486,820,-0.5431016072630882,0.2,0.14009233079850675,0.02961466647684574,0.05604708194732666,0.06543961
,,,,24900,,,0,83,0.68,1.8,36708,-0.2956026,,,,,,,,,,
1.18,0.94,14551,25200,25200,-0.06848513927310705,0,,,,,,,-0.040142568372539246,0.001,0.18751900494098664,830,-0.5805593103170394,0.2,0.16566051319241523,0.019582759588956833,0.1450592279434204,0.029506952
,,,,25200,,,0,84,0.76,1.61,37115,-0.24026813,,,,,,,,,,
1.18,0.94,14719,25500,25500,-0.02918464647606015,0,,,,,,,-0.030786529136821627,0.001,0.1698310673236847,840,-0.488976226747036,0.2,0.15298295617103577,0.006094656884670258,0.2365661859512329,0.053503744
,,,,25500,,,0,85,0.67,1.78,37537,-0.31206994000000005,,,,,,,,,,
1.32,0.88,14907,25800,25800,-0.10981673323083668,0,,,,,,,-0.0410903041716665,0.001,0.20524384081363678,850,-0.5505131289362908,0.2,0.16906960271298885,0.00926574319601059,0.043351054191589355,0.06234519
,,,,25800,,,0,86,0.74,1.64,37948,-0.22903549000000006,,,,,,,,,,
