env/n_steps,env/completion_counter,env/current_idx,eval/mean_ep_length,time/total_timesteps,eval/success_rate,eval/mean_reward,time/iterations,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss
,,,,21900,,,73,-0.25936379,0.7,1.72,0,32320,,,,,,,,,,
22200,0,13122,1.4,22200,0.82,-0.15318478646688163,,,,,,,0.025701305,0.001,0.14815717935562134,0.17124145686626435,0.2,0.020817436277866364,0.08613636404275894,365,-0.41766430497169493,-0.018630624981597066
,,,,22200,,,74,-0.29895032000000005,0.69,1.76,0,32771,,,,,,,,,,
22500,0,13299,1.2,22500,0.94,-0.0687518342770636,,,,,,,0.029193178,0.001,0.12525582313537598,0.18038195192813875,0.2,0.03991610184311867,0.1588636365532875,370,-0.42343915104866026,-0.023504177294671535
,,,,22500,,,75,-0.24241205000000002,0.76,1.6,0,33224,,,,,,,,,,
22800,0,13492,1.34,22800,0.86,-0.09183347595389932,,,,,,,0.022352625,0.001,0.11491620540618896,0.1882163864374161,0.2,0.0398472361266613,0.13329545497894288,375,-0.4080759406089783,-0.02687881011515856
,,,,22800,,,76,-0.27154209000000007,0.74,1.69,0,33672,,,,,,,,,,
23100,0,13672,1.14,23100,0.96,-0.048644973738119004,,,,,,,0.033053484,0.001,0.33895838260650635,0.13741432040929794,0.2,0.03343178331851959,0.08255681842565536,380,-0.39245433449745176,-0.020452621318399908
,,,,23100,,,77,-0.16486967,0.81,1.51,0,34090,,,,,,,,,,
23400,0,13855,1.24,23400,0.92,-0.07526630815584212,,,,,,,0.019425746,0.001,0.17929118871688843,0.14300087481737137,0.2,0.02958732657134533,0.07375000059604644,385,-0.3421322250366211,-0.01785805106163025
,,,,23400,,,78,-0.27959247000000004,0.73,1.6,0,34539,,,,,,,,,,
23700,0,14036,1.3,23700,0.86,-0.09294702229090035,,,,,,,0.025544595,0.001,0.2172488570213318,0.1542750358581543,0.2,0.03929900377988815,0.07590909123420715,390,-0.2996312803030014,-0.016957589797675608
,,,,23700,,,79,-0.25575348999999997,0.72,1.74,0,34976,,,,,,,,,,
24000,0,14218,1.28,24000,0.86,-0.11321484471205621,,,,,,,0.019777954,0.001,0.04748314619064331,0.16746771216392517,0.2,0.021127767860889435,0.09289772808551788,395,-0.3310881555080414,-0.020569984420435502
,,,,24000,,,80,-0.28269438999999996,0.67,1.75,0,35424,,,,,,,,,,
24300,0,14404,1.28,24300,0.9,-0.1103276082035154,,,,,,,0.027709702,0.001,0.14519613981246948,0.17253460645675658,0.2,0.03369917720556259,0.10159090936183929,400,-0.38877129077911377,-0.02669651071773842
,,,,24300,,,81,-0.26505797999999997,0.76,1.62,0,35835,,,,,,,,,,
24600,0,14583,1.1,24600,0.98,-0.027285143779590727,,,,,,,0.033992343,0.001,0.17368543148040771,0.165418042242527,0.2,0.057715095579624176,0.10181818217039108,405,-0.3843377208709717,-0.018746823216788472
,,,,24600,,,82,-0.30160195,0.72,1.67,0,36248,,,,,,,,,,
24900,0,14759,1.1,24900,0.96,-0.027369413515552877,,,,,,,0.02808022,0.001,0.2133561372756958,0.1581973871588707,0.2,0.04420468956232071,0.1343750002980232,410,-0.4411355471611023,-0.022089187875390052
,,,,24900,,,83,-0.21025916999999997,0.72,1.67,0,36667,,,,,,,,,,
25200,0,14935,1.3,25200,0.86,-0.0716919170645997,,,,,,,0.031224871,0.001,0.19114774465560913,0.16065000891685485,0.2,0.05562681704759598,0.1273295459151268,415,-0.420214501619339,-0.023236395306885243
,,,,25200,,,84,-0.25271577999999995,0.68,1.79,0,37095,,,,,,,,,,
25500,0,15114,1.12,25500,0.96,-0.031625895211473104,,,,,,,0.036132783,0.001,0.2597728371620178,0.15302957147359847,0.2,0.03505276143550873,0.08613636404275894,420,-0.3104938995838165,-0.012388177737593651
,,,,25500,,,85,-0.23752822999999995,0.76,1.65,0,37496,,,,,,,,,,
25800,0,15300,1.3,25800,0.86,-0.13526428593322634,,,,,,,0.026039463,0.001,0.21882563829421997,0.16496308028697967,0.2,0.01788109540939331,0.11227272778749466,425,-0.34790428638458254,-0.016139893680810927
,,,,25800,,,86,-0.18608188000000006,0.8,1.53,0,37914,,,,,,,,,,
