env/completion_counter,eval/mean_reward,env/current_idx,eval/mean_ep_length,time/total_timesteps,env/n_steps,eval/success_rate,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/approx_kl
0,-0.09565637094434351,7990,1.54,17400,17400,0.92,,,,,,,0.2,0.04562500029802322,-0.39819040179252624,-0.010295745246112346,285,0.001,0.1845952272415161,0.05263933539390564,0.16820164144039154,0.004247792
,,,,17400,,,0,0.84,58,26414,1.99,-0.20536337,,,,,,,,,,
0,-0.03622144756838679,8135,1.48,17700,17700,0.96,,,,,,,0.2,0.11937500029802323,-0.42508882641792295,-0.023723355494439602,290,0.001,0.19939815998077393,0.007763765752315521,0.14300500899553298,0.026838908
,,,,17700,,,0,0.81,59,26863,2.03,-0.21096921000000002,,,,,,,,,,
0,-0.02867553680203855,8290,1.14,18000,18000,0.98,,,,,,,0.2,0.055965909361839296,-0.32042949795722964,-0.01286929621361196,295,0.001,0.26314544677734375,0.018154557794332504,0.13352406591176988,0.006017952
,,,,18000,,,0,0.85,60,27293,1.86,-0.15964775,,,,,,,,,,
0,-0.07360630960203707,8448,1.4,18300,18300,0.94,,,,,,,0.2,0.06397727310657501,-0.3303898024559021,-0.014348889995599166,300,0.001,0.10267305374145508,0.012303277850151062,0.1444292798638344,0.016177852
,,,,18300,,,0,0.83,61,27903,2.01,-0.21259832999999997,,,,,,,,,,
0,-0.08994895983953029,8591,1.36,18600,18600,0.92,,,,,,,0.2,0.042159091234207156,-0.27130536615848544,-0.007773289391188883,305,0.001,0.1373831033706665,0.02188306674361229,0.14742806553840637,0.003491008
,,,,18600,,,0,0.82,62,28352,2.09,-0.24768237999999998,,,,,,,,,,
0,-0.1282374795107171,8725,1.58,18900,18900,0.88,,,,,,,0.2,0.05914772778749466,-0.31402606904506686,-0.009235539986675576,310,0.001,0.16136497259140015,0.019650103524327278,0.1644761198759079,0.010278643
,,,,18900,,,0,0.71,63,28818,2.44,-0.34173721000000007,,,,,,,,,,
0,-0.04954028071835637,8882,1.3,19200,19200,0.96,,,,,,,0.2,0.039659091234207154,-0.33426410317420957,-0.009121427496429533,315,0.001,0.2201465368270874,0.033756356686353683,0.15733113944530486,0.013768907
,,,,19200,,,0,0.92,64,29263,1.88,-0.10358508999999998,,,,,,,,,,
0,-0.13546029289718717,9035,1.58,19500,19500,0.88,,,,,,,0.2,0.029829545617103576,-0.3918139338493347,-0.008245761208236217,320,0.001,0.08716446161270142,0.0359308123588562,0.13001046180725098,0.008657065
,,,,19500,,,0,0.81,65,29719,2.0,-0.15949396000000002,,,,,,,,,,
0,-0.0080458989366889,9178,1.14,19800,19800,0.98,,,,,,,0.2,0.03539772748947143,-0.3879899036884308,-0.01086038762365206,325,0.001,0.3587988615036011,0.015361590310931206,0.09393227756023408,0.019234184
,,,,19800,,,0,0.79,66,30137,2.1,-0.24007560000000003,,,,,,,,,,
0,-0.09551263104192913,9319,1.6,20100,20100,0.9,,,,,,,0.2,0.0435795459151268,-0.38617137193679807,-0.011318537564948201,330,0.001,0.18022388219833374,0.043473780155181885,0.15518268764019014,0.005972267
,,,,20100,,,0,0.79,67,30596,2.1,-0.25310694,,,,,,,,,,
