env/n_steps,env/current_idx,env/completion_counter,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,rollout/success_rate,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss
,,,,,,30000,0.72,100,1.7,0,43505,-0.25220570999999997,,,,,,,,,,
30300,17762,0,-0.06964346760418266,1.24,0.94,30300,,,,,,,-0.4117547142505646,0.022305056,0.0032416842877864838,0.2,0.11448863685131073,0.001,0.038527488708496094,500,0.1747138684988022,-0.024086110796779393
,,,,,,30300,0.71,101,1.72,0,43922,-0.23807979999999998,,,,,,,,,,
30600,17939,0,-0.09360719132237136,1.32,0.9,30600,,,,,,,-0.46553205490112304,0.032633614,0.04221184179186821,0.2,0.13670454561710357,0.001,0.14813190698623657,505,0.17069566249847412,-0.023950508758425713
,,,,,,30600,0.68,102,1.77,0,44334,-0.27693510000000005,,,,,,,,,,
30900,18123,0,-0.05183674853295088,1.36,0.86,30900,,,,,,,-0.48618852138519286,0.04089748,-0.02019011601805687,0.2,0.1313636365532875,0.001,0.20671343803405762,510,0.1699908569455147,-0.03150109831243753
,,,,,,30900,0.77,103,1.6,0,44743,-0.20065953999999997,,,,,,,,,,
31200,18301,0,-0.13070556782186032,1.4,0.84,31200,,,,,,,-0.5231155896186829,0.028378844,0.014341682195663452,0.2,0.12028409153223038,0.001,0.024164557456970215,515,0.17068271934986115,-0.02107435394078493
,,,,,,31200,0.77,104,1.63,0,45151,-0.23331782999999998,,,,,,,,,,
31500,18490,0,-0.02998017062433064,1.24,0.9,31500,,,,,,,-0.4900349771976471,0.031314883,0.0319315567612648,0.2,0.1552840918302536,0.001,0.2096884846687317,520,0.15676278680562972,-0.025589894764125348
,,,,,,31500,0.81,105,1.57,0,45572,-0.20729984999999998,,,,,,,,,,
31800,18669,0,-0.07902914972510189,1.34,0.86,31800,,,,,,,-0.44574145317077635,0.020282868,0.03319397568702698,0.2,0.1006818187236786,0.001,0.1709570288658142,525,0.15564082592725753,-0.02047330152243376
,,,,,,31800,0.72,106,1.77,0,45956,-0.24282842999999996,,,,,,,,,,
32100,18853,0,-0.032726081400178374,1.1,0.98,32100,,,,,,,-0.4425486183166504,0.022606853,0.04017377272248268,0.2,0.09119318217039109,0.001,0.1087946891784668,530,0.17802714705467224,-0.022382392603904008
