env/current_idx,env/n_steps,env/completion_counter,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,time/fps,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss
,,,48900,,,,0,-0.19889116000000004,0.77,1.58,72172,163,,,,,,,,,,
29643,49200,0,49200,1.14,-0.02774321772158146,0.96,,,,,,,0.001,0.08437500059604645,815,-0.1271832486987114,0.14855419993400573,0.2,0.025089169,-0.009752564593218266,0.3041991591453552,0.06282100081443787
,,,49200,,,,0,-0.20719891000000001,0.77,1.53,72606,164,,,,,,,,,,
29824,49500,0,49500,1.26,-0.11072680725716054,0.88,,,,,,,0.001,0.01704545468091965,820,-0.13053535252809526,0.13590714246034621,0.2,0.0037234877,-0.006000883392989636,0.292152464389801,0.026049304753541946
,,,49500,,,,0,-0.27110156,0.72,1.63,73059,165,,,,,,,,,,
30005,49800,0,49800,1.26,-0.0919286836963147,0.88,,,,,,,0.001,0.037897727489471435,825,-0.17866217643022536,0.15413065910339355,0.2,0.008742172,-0.009823426203802228,0.2113199234008789,0.0489453487098217
,,,49800,,,,0,-0.31097649,0.68,1.74,73488,166,,,,,,,,,,
30195,50100,0,50100,1.3,-0.13047107511665673,0.88,,,,,,,0.001,0.05221590936183929,830,-0.17042462557554244,0.17450459867715837,0.2,0.009493725,-0.011028967373422347,0.19635313749313354,0.051524870097637177
,,,50100,,,,0,-0.17744024000000005,0.77,1.53,73929,167,,,,,,,,,,
30383,50400,0,50400,1.1,-0.027530088773928582,0.96,,,,,,,0.001,0.030397727489471435,835,-0.13559338450431824,0.15229690432548523,0.2,0.01842924,-0.007006323640525807,0.1559334397315979,0.05482788756489754
,,,50400,,,,0,-0.24198144000000002,0.76,1.55,74375,168,,,,,,,,,,
30556,50700,0,50700,1.3,-0.13258480353280902,0.86,,,,,,,0.001,0.07369318217039109,840,-0.1007470341026783,0.1541698157787323,0.2,0.018816326,-0.010207290695980191,0.22596490383148193,0.046513739973306656
,,,50700,,,,0,-0.32599610999999995,0.65,1.78,74839,169,,,,,,,,,,
