rollout/ep_rew_mean,rollout/ep_len_mean,env/current_idx,env/n_steps,time/total_timesteps,rollout/success_rate,time/time_elapsed,env/completion_counter,time/fps,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,eval/mean_reward,eval/success_rate,eval/mean_ep_length
-0.06438989,1.28,1206,43770,43770,0.94,54789,2,0,1459,14580,0.0,0.5201812982559204,0.0001,0.01013160590082407,-0.36203486621379855,0.00045621992,-0.005394935424361957,0.049218378588557245,0.2,,,
-0.05406876000000001,1.23,1228,43800,43800,0.95,54831,2,0,1460,14590,0.0,-19.309814453125,0.0001,0.0269525945186615,-0.3372922658920288,0.00045345226,-0.0025295096115826254,0.08531060293316842,0.2,,,
-0.04149986,1.25,1249,43830,43830,0.95,54866,2,0,1461,14600,0.0,0.6027927398681641,0.0001,0.014017884619534016,-0.3011416882276535,0.00030670763,-0.004337953610811374,0.04905876740813255,0.2,,,
-0.04289997,1.3,1272,43860,43860,0.94,54902,2,0,1462,14610,0.0,0.5497183203697205,0.0001,0.020899659022688866,-0.2866343051195145,1.5811125e-05,-6.556858463220294e-05,0.04862194284796715,0.2,,,
-0.06283564000000001,1.37,1291,43890,43890,0.93,54937,2,0,1463,14620,0.0,0.256445050239563,0.0001,0.03544411063194275,-0.26814434230327605,4.7679743e-05,-6.655509296251693e-05,0.08013567700982094,0.2,,,
-0.06277895000000001,1.38,1314,43920,43920,0.92,54970,2,0,1464,14630,0.0,0.6772440075874329,0.0001,0.023812226951122284,-0.2787277400493622,0.00012774864,-0.00097760279850867,0.06825016252696514,0.2,,,
-0.08257810000000002,1.36,1338,43950,43950,0.91,55003,2,0,1465,14640,0.0,0.8819935917854309,0.0001,0.007039617281407118,-0.26918929219245913,3.186067e-05,3.420929109179127e-05,0.01539545701816678,0.2,,,
-0.1132004,1.42,1355,43980,43980,0.89,55038,2,0,1466,14650,0.0,0.5026702880859375,0.0001,0.029145684093236923,-0.2769268393516541,0.0002526621,-0.003857172732629266,0.09244897067546845,0.2,,,
-0.10116868999999999,1.37,1379,44010,44010,0.9,55072,2,0,1467,14660,0.0,0.3323296904563904,0.0001,0.08574041724205017,-0.26295909881591795,5.299449e-05,0.00181578117073542,0.1977904409170151,0.2,,,
-0.11133479999999998,1.39,1401,44040,44040,0.89,55107,2,0,1468,14670,0.0,0.35032474994659424,0.0001,0.04882802069187164,-0.2564960509538651,8.1497434e-05,-0.0011555209860670602,0.11199097707867622,0.2,,,
-0.11135360999999998,1.38,1423,44070,44070,0.9,55139,2,0,1469,14680,0.0,-0.18463122844696045,0.0001,0.09015865623950958,-0.25478664636611936,2.1497408e-06,-5.4218171978170916e-05,0.19531511664390563,0.2,,,
-0.07035255999999998,1.3,1446,44100,44100,0.94,55171,2,0,1470,14690,0.0,0.21679866313934326,0.0001,0.06144297868013382,-0.2674568444490433,3.6287307e-05,-0.0008343127336534195,0.13622275292873381,0.2,,,
-0.08334576999999997,1.38,1465,44130,44130,0.92,55205,2,0,1471,14700,0.0,-0.46883368492126465,0.0001,0.07145795971155167,-0.2614011406898499,1.7553568e-05,0.0001190377275149146,0.16092834919691085,0.2,,,
-0.06328882,1.35,1490,44160,44160,0.93,55240,2,0,1472,14710,0.0,0.4625180959701538,0.0001,0.0291623342782259,-0.2564920842647552,1.7881393e-07,-9.44902492925337e-06,0.08248239830136299,0.2,,,
-0.05296882,1.32,1514,44190,44190,0.94,55275,2,0,1473,14720,0.0,-32.18227767944336,0.0001,0.0004312838427722454,-0.248878014087677,0.0003157099,-0.0011933869175361877,0.012456062622368336,0.2,,,
-0.06386767,1.4,1533,44220,44220,0.92,55310,2,0,1474,14730,0.0,0.6435142159461975,0.0001,0.024110471829771996,-0.23714960217475892,6.310145e-06,1.1281569832100047e-05,0.05223567113280296,0.2,,,
-0.06413466000000001,1.4,1552,44250,44250,0.92,55343,2,0,1475,14740,0.0,0.3015400171279907,0.0001,0.06002340093255043,-0.22099097371101378,7.3512393e-07,-3.922621373932955e-05,0.14472037330269813,0.2,,,
-0.07253312999999999,1.41,1573,44280,44280,0.91,55377,2,0,1476,14750,0.0,0.15053248405456543,0.0001,0.06612063199281693,-0.23119963258504866,2.900362e-05,-0.00027930438505805453,0.15537750124931335,0.2,,,
