env/completion_counter,env/current_idx,time/total_timesteps,eval/mean_reward,eval/success_rate,env/n_steps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/value_loss
,,31800,,,,,2.08,0,48594,-0.24226034999999999,0.8,106,,,,,,,,,,
0,15421,32100,-0.03058495044708252,0.96,32100,1.34,,,,,,,0.0059090909361839295,0.2,1060,0.04567132145166397,0.00074449036,0.26723259687423706,-0.14104097709059715,-0.002495300931041129,0.0001,0.15627363994717597
,,32100,,,,,1.86,0,49026,-0.12250245,0.87,107,,,,,,,,,,
0,15584,32400,-0.05805238557048142,0.96,32400,1.26,,,,,,,0.015738636404275894,0.2,1070,0.04589318111538887,0.0112807285,-0.010614633560180664,-0.1645025971531868,-0.006672630325192585,0.0001,0.1516687911748886
,,32400,,,,,1.86,0,49445,-0.19423821000000008,0.84,108,,,,,,,,,,
0,15728,32700,-0.09204151350073517,0.92,32700,1.44,,,,,,,0.014602272808551787,0.2,1080,0.03257520869374275,0.0022829727,0.28492921590805054,-0.24009694546461105,-0.007438371378812008,0.0001,0.13852466866374016
,,32700,,,,,2.06,0,49875,-0.2277476,0.8,109,,,,,,,,,,
0,15882,33000,-0.03104470535181463,0.98,33000,1.28,,,,,,,0.015227272808551788,0.2,1090,0.05756247043609619,0.0018935327,0.18941855430603027,-0.20827810168266297,-0.005714443374308757,0.0001,0.17081885889172554
,,33000,,,,,1.89,0,50318,-0.19937643000000002,0.87,110,,,,,,,,,,
0,16026,33300,-0.07445315039250999,0.94,33300,1.52,,,,,,,0.024801136553287507,0.2,1100,0.056088946759700775,0.003819714,0.3414292335510254,-0.24476248472929002,-0.0091841326886788,0.0001,0.14845841199159623
,,33300,,,,,2.07,0,50747,-0.24395201000000002,0.8,111,,,,,,,,,,
0,16196,33600,-0.056715460368432107,0.92,33600,1.46,,,,,,,0.031363636553287506,0.2,1110,0.03710492327809334,0.0065525323,0.3471105098724365,-0.21428226113319396,-0.012518018789123744,0.0001,0.13549999877810479
,,33600,,,,,1.71,0,51177,-0.14109011000000002,0.88,112,,,,,,,,,,
0,16337,33900,-0.009593803235329688,0.98,33900,1.26,,,,,,,0.03332386389374733,0.2,1120,-0.0013819392770528793,0.0072028004,0.31343114376068115,-0.26169840812683104,-0.013821607154677623,0.0001,0.13989281632006167
,,33900,,,,,2.02,0,51582,-0.20838282999999996,0.83,113,,,,,,,,,,
0,16476,34200,-0.07295936432667077,0.94,34200,1.36,,,,,,,0.0461647729575634,0.2,1130,0.06894392520189285,0.0053331917,0.19114506244659424,-0.34923759996891024,-0.010087043438106775,0.0001,0.18463969916105272
,,34200,,,,,2.02,0,52027,-0.16659844,0.82,114,,,,,,,,,,
0,16654,34500,-0.00997890914324671,0.98,34500,1.26,,,,,,,0.060994318276643755,0.2,1140,0.0895698070526123,0.0109347105,0.24690377712249756,-0.3057714712619781,-0.01551811770768836,0.0001,0.1634459225833416
,,34500,,,,,1.66,0,52445,-0.13082196,0.9,115,,,,,,,,,,
0,16806,34800,-0.02945548293646425,0.96,34800,1.24,,,,,,,0.05198863670229912,0.2,1150,0.013934804126620293,0.00599661,0.32458823919296265,-0.3421683833003044,-0.017181000561686234,0.0001,0.1386483719944954
,,34800,,,,,2.05,0,52871,-0.20665039000000004,0.83,116,,,,,,,,,,
0,16945,35100,-0.05099863142706454,0.96,35100,1.42,,,,,,,0.06539772763848305,0.2,1160,0.0074281394481658936,0.016665913,0.17695128917694092,-0.33830531030893324,-0.020365642899414525,0.0001,0.1643318848311901
