env/n_steps,eval/mean_reward,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/success_rate,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/success_rate,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance
,,,,,,24300,81,-0.24527134999999997,1.66,36654,0,0.75,,,,,,,,,,
24600,-0.05077795080840588,0,14941,1.24,0.92,24600,,,,,,,0.08933057636022568,-0.010860334523022175,0.001,405,2.475710247189511e-05,0.19378728568553924,0.0,0.2,5.9138983e-08,0.20352274179458618
,,,,,,24600,82,-0.23797116,1.69,37087,0,0.72,,,,,,,,,,
24900,-0.0905431238282472,0,15122,1.28,0.88,24900,,,,,,,0.09533148258924484,-0.010753020644187927,0.001,410,-7.552179415171167e-09,0.17061783820390702,0.0,0.2,0.0,0.25805145502090454
,,,,,,24900,83,-0.28316392999999995,1.71,37504,0,0.7,,,,,,,,,,
25200,-0.15110046430490912,0,15305,1.34,0.86,25200,,,,,,,0.07991673052310944,-0.010765505209565162,0.001,415,-5.418604054341358e-09,0.1670122876763344,0.0,0.2,0.0,0.27883434295654297
,,,,,,25200,84,-0.25012294,1.6,37948,0,0.74,,,,,,,,,,
25500,-0.10961499154102057,0,15493,1.26,0.88,25500,,,,,,,0.08022452890872955,-0.014865237567573786,0.001,420,-0.00037159749507811315,0.18103005290031432,0.001953125,0.2,0.0059984294,0.24729257822036743
,,,,,,25500,85,-0.17082230999999998,1.51,38396,0,0.79,,,,,,,,,,
25800,-0.04916658383328468,0,15678,1.2,0.94,25800,,,,,,,0.05602237582206726,-0.008627387043088675,0.001,425,9.925316424741481e-07,0.1678072102367878,0.0,0.2,0.0,0.20853328704833984
,,,,,,25800,86,-0.25326648,1.63,38834,0,0.73,,,,,,,,,,
26100,-0.051797089064493776,0,15859,1.22,0.92,26100,,,,,,,0.10715562850236893,-0.008299916610121727,0.001,430,-0.00018371186981145372,0.19774006456136703,0.0,0.2,3.161677e-05,0.11815327405929565
,,,,,,26100,87,-0.28967666000000003,1.68,39262,0,0.7,,,,,,,,,,
