time/total_timesteps,env/n_steps,time/iterations,env/completion_counter,rollout/ep_len_mean,env/current_idx,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,eval/success_rate,eval/mean_reward,eval/mean_ep_length
2190,2190,73,0,1.36,1647,0,2602,0.9,-0.0932542,0.0,0.05000596831494477,3600,-0.0036028379946947096,0.001,0.0,0.0085945725440979,-4.420717549233899e-06,0.0003917223366443068,0.2,,,
2220,2220,74,0,1.38,1667,0,2634,0.9,-0.09306986,0.0,0.09990275949239731,3650,-0.006195485494099557,0.001,5.0206978e-05,0.5295872688293457,-0.0005210443345034576,0.04756947606801987,0.2,,,
2250,2250,75,0,1.29,1695,0,2668,0.93,-0.0819385,0.0,0.04288511634687893,3700,-0.0033932740101590753,0.001,0.0,0.29642337560653687,-2.5842587276159178e-06,0.0003256765485275537,0.2,,,
2280,2280,76,0,1.33,1717,0,2703,0.93,-0.08240890000000001,0.0,0.016624351167702115,3750,-0.0030266277538612486,0.001,7.947286e-09,-805.662841796875,-2.598347266726364e-05,2.5176221242872998e-05,0.2,,,
2310,2310,77,0,1.34,1737,0,2735,0.94,-0.07324604,0.0,0.05971055386005901,3800,-0.00276406055316329,0.001,0.0,0.006291568279266357,-1.7246405489323991e-06,0.000587457965593785,0.2,,,
2340,2340,78,0,1.3,1759,0,2769,0.96,-0.05038481999999998,0.0,0.024230287703685464,3850,-0.0027163040870800616,0.001,0.0,0.03362762928009033,-9.095271395054283e-07,0.00031681187101639807,0.2,,,
2370,2370,79,0,1.39,1777,0,2802,0.93,-0.07147089,0.0,0.14967607721686363,3900,-0.0029068814823403955,0.001,0.0,-0.048071980476379395,-2.8636058303987964e-06,0.04766453430056572,0.2,,,
2400,2400,80,0,1.45,1798,0,2836,0.9,-0.09266622,0.06533333674073219,0.11550317391753197,3950,-0.09498589947819709,0.001,0.024862599,-0.26373517513275146,-0.016557034142315387,-0.01044514961540699,0.2,,,
2430,2430,81,0,1.41,1823,0,2871,0.9,-0.09182500999999998,0.0,0.05208458511042409,4000,-0.0044511055294424295,0.001,0.0,0.015511572360992432,-3.46179802363622e-06,0.0008650058298371732,0.2,,,
2460,2460,82,0,1.37,1846,0,2904,0.9,-0.0813334,0.0,0.08782075300812721,4050,-0.004527760809287429,0.001,5.185604e-07,-0.2981295585632324,-0.0002521797813618143,0.015868881717324257,0.2,,,
2490,2490,83,0,1.23,1873,0,2938,0.93,-0.06090892999999999,0.0,0.019870750495465474,4100,-0.004056365415453911,0.001,0.0,-0.22894048690795898,-1.3137658385087292e-06,0.00024480195133946836,0.2,,,
2520,2520,84,0,1.27,1896,0,2976,0.93,-0.06127846,0.0,0.014513394096575212,4150,-0.0048221231997013095,0.001,5.9604646e-09,0.08919447660446167,-1.9394695871537416e-05,9.525290806777775e-05,0.2,,,
2550,2550,85,0,1.23,1921,0,3018,0.95,-0.05060822,0.0,0.06769102599937468,4200,-0.006110618012025952,0.001,5.0505e-06,-0.8128968477249146,-0.0002052154483978086,0.00039216852746903896,0.2,,,
2580,2580,86,0,1.16,1948,0,3059,0.97,-0.03834648,0.11400000341236591,0.07081197935156525,4250,-0.18845172643661498,0.001,0.68141705,-0.11676061153411865,-0.04795350699747603,-0.07269486784934998,0.2,,,
