env/current_idx,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/fps,time/total_timesteps,env/n_steps,rollout/ep_rew_mean,env/completion_counter,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
1509,54751,1.36,1483,0.9,0,44490,44490,-0.10307514,2,0.2,0.0001,0.12053535357117653,0.4686861038208008,-0.407104617357254,14820,0.0,0.0004924953,-0.0016587080657092911,0.04501822218298912,,,
1538,54783,1.3,1484,0.91,0,44520,44520,-0.09212241999999998,2,0.2,0.0001,0.09095047488808632,0.1505991816520691,-0.40322349965572357,14830,0.0,0.0002903382,-0.0011240619145973963,0.037711743265390396,,,
1558,54815,1.31,1485,0.91,0,44550,44550,-0.09512059,2,0.2,0.0001,0.05956756956875324,-477.0357666015625,-0.42028150260448455,14840,0.0,0.00052327715,-0.0021947998316803386,0.014383086003363132,,,
1580,54849,1.29,1486,0.93,0,44580,44580,-0.07315611999999999,2,0.2,0.0001,0.08249651342630386,0.6661081910133362,-0.4277180254459381,14850,0.0,0.00082756876,-0.0025892142634014624,0.028407057747244835,,,
1603,54893,1.26,1487,0.94,0,44610,44610,-0.06343104999999999,2,0.2,0.0001,0.19298774003982544,-0.36198151111602783,-0.46291542053222656,14860,0.0,0.00012811819,-0.0001982445027412183,0.08626947551965714,,,
1624,54931,1.35,1488,0.91,0,44640,44640,-0.0852718,2,0.2,0.0001,0.12340329885482788,0.08107900619506836,-0.48183571696281435,14870,0.0,4.871686e-06,-0.0005026139768718573,0.05202709510922432,,,
1650,54965,1.28,1489,0.93,0,44670,44670,-0.051547869999999996,2,0.2,0.0001,0.05181284062564373,0.689971923828125,-0.5078431785106658,14880,0.006666667014360428,0.001575766,-0.005275210108181128,0.010003115050494671,,,
1676,54996,1.24,1490,0.93,0,44700,44700,-0.05118538999999999,2,0.2,0.0001,0.0064801741391420364,-37.84357452392578,-0.5329826593399047,14890,0.0,0.0009814043,-0.004580600131885148,-0.01213002298027277,,,
1695,55028,1.32,1491,0.91,0,44730,44730,-0.07137881999999998,2,0.2,0.0001,0.06000126376748085,0.4867122173309326,-0.5469058334827424,14900,0.0,0.000133423,0.0002716737940012592,0.02480737306177616,,,
1722,55062,1.22,1492,0.95,0,44760,44760,-0.04951528000000001,2,0.2,0.0001,0.1770230323076248,0.30932241678237915,-0.47661107778549194,14910,0.0,0.0011543811,-0.008508661002852058,0.05876140296459198,,,
1747,55097,1.26,1493,0.95,0,44790,44790,-0.05019533000000001,2,0.2,0.0001,0.019561673887073992,-48.26569747924805,-0.4849134564399719,14920,0.006666667014360428,0.0019863525,-0.005632844567493578,-0.0031937547028064728,,,
1768,55132,1.28,1494,0.94,0,44820,44820,-0.06018032999999999,2,0.2,0.0001,0.03840561248362064,-60.19755554199219,-0.4695195585489273,14930,0.0,0.0004186829,-0.0019567746175258804,0.007968783378601074,,,
1791,55165,1.29,1495,0.94,0,44850,44850,-0.060175660000000006,2,0.2,0.0001,0.11929967924952507,0.06162667274475098,-0.39321220517158506,14940,0.0,0.000142622,-0.0006512727333269908,0.05254971608519554,,,
1813,55198,1.31,1496,0.93,0,44880,44880,-0.07162,2,0.2,0.0001,0.10796936824917794,0.5469599962234497,-0.45239977538585663,14950,0.0,0.0010792196,-0.004646314507117566,0.034191131591796875,,,
1830,55233,1.42,1497,0.89,0,44910,44910,-0.11343948000000001,2,0.2,0.0001,0.10794592127203942,0.4226178526878357,-0.5295860290527343,14960,0.0,0.0005043447,-0.0047365765401627515,0.03260542452335358,,,
1856,55268,1.4,1498,0.89,0,44940,44940,-0.11273904,2,0.2,0.0001,0.18847746700048446,0.26093852519989014,-0.5004910349845886,14970,0.010000000521540642,0.0024899542,-0.009587144443454676,0.06333674490451813,,,
