env/n_steps,rollout/ep_rew_mean,time/total_timesteps,env/current_idx,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/success_rate,env/completion_counter,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
31800,-0.08607086000000003,31800,6376,530,1.45,0,40777,0.9,1,0.16969514,26450,-0.045406609997153284,0.2,0.1310511827468872,0.036416364759206774,0.006989806890487671,0.09900000158697367,0.001,-0.0067110289831956394,,,
31860,-0.06300694,31860,6432,531,1.26,0,40850,0.95,1,0.9696474,26500,-0.10301174536347389,0.2,0.006130218505859375,0.13782826509326696,-0.05639982968568802,0.22200000263750552,0.001,-0.04869716444487367,,,
31920,-0.0402167,31920,6476,532,1.2,0,40927,0.96,1,0.3312426,26550,-0.07317323081195354,0.2,-3331.04443359375,0.005206400567367382,-0.025689657777547836,0.1336666690185666,0.001,-0.014765970571277051,,,
31980,-0.08258436,31980,6520,533,1.34,0,40993,0.92,1,0.5014355,26600,-0.07918145433068276,0.2,0.2949225902557373,0.05874190788716078,-0.051811810582876205,0.17600000359117984,0.001,-0.05412176607549192,,,
32040,-0.06167103999999999,32040,6567,534,1.33,0,41060,0.94,1,1.5138211,26650,-0.06283472046256065,0.2,0.007116198539733887,0.10872243840247392,-0.032461393624544144,0.17033333614468574,0.001,-0.03536993770301336,,,
32100,-0.10534156000000001,32100,6600,535,1.5,0,41156,0.88,1,0.81958604,26700,-0.05833220936357975,0.2,-102.18648529052734,0.018760188398882747,-0.03932379558682442,0.2200000061094761,0.001,-0.03531721201042338,,,
32160,-0.07267367000000001,32160,6653,536,1.37,0,41228,0.91,1,0.7865163,26750,-0.09191873908042908,0.2,0.14709097146987915,0.13905536875128746,-0.036714255809783936,0.23033334292471408,0.001,-0.06227884922176599,,,
32220,-0.03866775,32220,6699,537,1.18,0,41303,0.96,1,1.1923772,26800,-0.10802213534712791,0.2,-82.17082977294922,0.017626746641471982,-0.048227958381175995,0.21366667054593563,0.001,-0.03651104866589108,,,
32280,-0.08105891999999999,32280,6747,538,1.27,0,41371,0.93,1,1.0172764,26850,-0.08149069339036942,0.2,0.1158750057220459,0.08961332857608795,-0.05519759654998779,0.21233333490788936,0.001,-0.0698022143493096,,,
32340,-0.08336171999999997,32340,6791,539,1.31,0,41443,0.92,1,0.56875646,26900,-0.11047607079148293,0.2,0.07736587524414062,0.11579326167702675,-0.019468840211629868,0.20733333580195903,0.001,-0.04286451297315459,,,
