env/n_steps,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/success_rate,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/n_updates
26100,0.96,0,12436,1.26,-0.04992582737468183,26100,,,,,,,0.15686655029654503,0.0030846654,0.013835227340459824,-0.004751405942661222,0.16828560829162598,-0.2159740322828293,0.0001,0.034480225294828415,0.2,860
,,,,,,26100,0.82,0,87,1.94,39187,-0.23284490999999996,,,,,,,,,,
26400,0.96,0,12608,1.24,-0.050175948687829076,26400,,,,,,,0.15333030372858047,0.0018114338,0.01934659108519554,-0.006363256216282025,0.26152074337005615,-0.26054574191570284,0.0001,0.041618362069129944,0.2,870
,,,,,,26400,0.86,0,88,1.95,39628,-0.16986439999999994,,,,,,,,,,
26700,0.96,0,12753,1.22,-0.049311372279189525,26700,,,,,,,0.13728370189666747,0.0073304204,0.056534091383218764,-0.013602254099532729,0.24872684478759766,-0.358161658346653,0.0001,0.025040067732334137,0.2,880
,,,,,,26700,0.82,0,89,2.03,40076,-0.20648203,,,,,,,,,,
27000,0.98,0,12895,1.22,-0.03056567137595266,27000,,,,,,,0.1511429290473461,0.0037498218,0.025482954680919646,-0.007650331102195196,0.18620920181274414,-0.3289253297448158,0.0001,0.03783748298883438,0.2,890
,,,,,,27000,0.82,0,90,1.98,40492,-0.22810207000000002,,,,,,,,,,
27300,0.96,0,13037,1.4,-0.03181866304483265,27300,,,,,,,0.14138578981161118,0.005905839,0.032840909361839296,-0.009016740678343921,0.4063357710838318,-0.298151838183403,0.0001,0.034111350774765015,0.2,900
,,,,,,27300,0.8,0,91,2.2,40925,-0.25017209,,,,,,,,,,
27600,0.94,0,13194,1.28,-0.05899397559463978,27600,,,,,,,0.1533223333954811,0.0017616724,0.019886363744735718,-0.006181231898372061,0.23715698719024658,-0.3177452313899994,0.0001,0.05101481452584267,0.2,910
,,,,,,27600,0.79,0,92,2.1,41362,-0.24314132000000005,,,,,,,,,,
27900,0.86,0,13331,1.64,-0.14339708871208132,27900,,,,,,,0.1274467197060585,0.0020169944,0.012698863744735717,-0.0047373611354123565,0.32648706436157227,-0.27834052085876465,0.0001,0.02551449090242386,0.2,920
,,,,,,27900,0.79,0,93,2.21,41814,-0.26989604,,,,,,,,,,
28200,0.96,0,13489,1.4,-0.05132077259942889,28200,,,,,,,0.17937351733446122,0.004210452,0.03568181842565536,-0.013046115068718792,0.1823650598526001,-0.3920893022418022,0.0001,0.0431453138589859,0.2,930
,,,,,,28200,0.84,0,94,1.9,42254,-0.19305819000000007,,,,,,,,,,
