eval/mean_ep_length,eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,env/n_steps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl
1.28,0.96,11147,0,24000,-0.0496512216469273,24000,,,,,,,0.21922475844621658,-0.12268912047147751,0.0001,-0.00051345927076909,790,0.2,0.2061890959739685,0.10038428008556366,0.0,7.0471986e-05
,,,,24000,,,2.3,80,0,-0.2598501,0.78,37118,,,,,,,,,,
1.1,0.98,11297,0,24300,-0.027911234027706087,24300,,,,,,,0.19790321588516235,-0.12326271384954453,0.0001,4.3546225176527285e-05,800,0.2,0.2161022424697876,0.08942823857069016,0.0026633523404598234,9.863021e-05
,,,,24300,,,2.04,81,0,-0.24059504,0.8,37558,,,,,,,,,,
1.32,0.94,11441,0,24600,-0.05056340463459492,24600,,,,,,,0.18564740642905236,-0.12125726640224457,0.0001,-0.00046711405259607374,810,0.2,0.3429720997810364,0.11874651908874512,0.0,9.851128e-06
,,,,24600,,,2.04,82,0,-0.18809846,0.81,37974,,,,,,,,,,
1.5,0.9,11583,0,24900,-0.09651238326914609,24900,,,,,,,0.15893410407006742,-0.12264972664415837,0.0001,-0.00013440383811991197,820,0.2,0.23500049114227295,0.06297627091407776,0.0,3.8895314e-06
,,,,24900,,,2.09,83,0,-0.20706404000000003,0.82,38433,,,,,,,,,,
1.52,0.88,11742,0,25200,-0.13628967630211264,25200,,,,,,,0.18395108357071877,-0.12424761950969695,0.0001,-0.0001199287576825192,830,0.2,0.2872268557548523,0.08679423481225967,0.0,1.8814368e-05
,,,,25200,,,1.87,84,0,-0.17795134999999995,0.84,38905,,,,,,,,,,
1.2,0.96,11890,0,25500,-0.04843396582175046,25500,,,,,,,0.21569203808903695,-0.12610544376075267,0.0001,-0.0004149721578043053,840,0.2,0.09050893783569336,0.13007619976997375,0.0,0.000103840764
,,,,25500,,,2.13,85,0,-0.24148633000000003,0.8,39358,,,,,,,,,,
1.46,0.92,12031,0,25800,-0.07220805763266981,25800,,,,,,,0.18183660507202148,-0.12117621563374996,0.0001,-0.0007817551418238366,850,0.2,0.27407991886138916,0.07093442976474762,0.0,3.6161742e-05
,,,,25800,,,2.1,86,0,-0.23894009,0.79,39841,,,,,,,,,,
1.64,0.9,12191,0,26100,-0.12139236205257475,26100,,,,,,,0.17167820781469345,-0.10588924810290337,0.0001,-0.0005341713331306508,860,0.2,0.285422682762146,0.06747107952833176,0.0,9.187852e-05
